word,CEFR,Japanese,phonetic,category,Example,Example_JP
really,A1,本当に,/ˈrɪli/,General,It is really hot today.,今日は本当に暑い。
right,A1,正しい,/ˈraɪt/,General,That is the right answer.,それが正しい答えです。
work,A1,仕事,/ˈwɜːrk/,Business,I go to work every day.,私は毎日仕事に行きます。
year,A1,年、1年,/jɪr/,Daily,We traveled abroad twice this year.,私たちは今年2回海外旅行をしました。
day,A1,日,/ˈdeɪ/,Daily,Today is a beautiful day.,今日は美しい日だ。
going,A1,行く,/ˈɡoʊɪŋ/,General,I am going to the store.,私は店に行きます。
made,A1,作った,/ˈmeɪd/,General,She made a cake for his birthday.,彼女は彼の誕生日にケーキを作った。
still,A1,まだ,/ˈstɪl/,General,She is still at work.,彼女はまだ仕事中です。
take,A1,取る,/ˈteɪk/,General,I will take the blue shirt.,私は青いシャツを取ります。
got,A1,手に入れた,/ˈɡɑt/,Daily,I got a new car.,私は新しい車を手に入れた。
many,A1,たくさん,/ˈmɛni/,General,I have many friends.,私にはたくさんの友達がいる。
never,A1,決して,/ˈnɛvər/,General,I will never forget you.,私はあなたを決して忘れない。
life,A1,人生、生活、命,/laɪf/,Daily,He enjoys a healthy and active life.,彼は健康的で活動的な生活を楽しんでいます。
say,A1,言う、述べる,/seɪ/,Daily,What did you say to the teacher?,先生に何と言ったのですか？
world,A1,世界,/ˈwɜːrld/,Culture,He wants to travel around the world.,彼は世界中を旅したいと思っている。
down,A1,下へ、下に、落ちて,/daʊn/,Daily,Please sit down on this comfortable sofa.,この心地よいソファにお座りください。
great,A1,素晴らしい,/ˈɡreɪt/,General,You did a great job!,素晴らしい仕事をしましたね！
love,A1,愛,/ˈlʌv/,Daily,I love my family.,私は家族を愛しています。
man,A1,男,/ˈmæn/,General,The man is wearing a hat.,男は帽子をかぶっています。
home,A1,家,/ˈhoʊm/,Daily,I am going home now.,私は今から家に帰ります。
long,A1,長い,/ˈlɔŋ/,General,It was a long day.,それは長い一日だった。
look,A1,見る,/ˈlʊk/,General,Look at the beautiful sunset.,美しい夕日を見てください。
something,A1,何か,/ˈsʌmθɪŋ/,Daily,I need something to drink.,私は何か飲み物が必要です。
use,A1,使う、使用する,/jˈuːs/,General,You can use my laptop whenever you want.,いつでも好きな時に私のノートパソコンを使っていいですよ。
every,A1,毎,/ˈɛvəri/,General,I go to the gym every day.,私は毎日ジムに行きます。
come,A1,来る,/ˈkʌm/,General,Please come to my party.,私のパーティーに来てください。
part,A1,部分,/ˈpɑrt/,General,This is my favorite part of the book.,これは本の中で私のお気に入りの部分だ。
three,A1,3,/ˈθriː/,General,I have three books.,私は3冊の本を持っている。
around,A1,周り,/ərˈaʊnd/,General,The park is around the corner.,公園は角を曲がったところにある。
always,A1,いつも,/ˈɔˌlweɪz/,Daily,She always comes on time.,彼女はいつも時間通りに来ます。
find,A1,見つける,/ˈfaɪnd/,General,Can you help me find my keys?,私の鍵を見つけるのを手伝ってくれますか？
help,A1,助ける,/ˈhɛlp/,General,Can you help me with this?,これを手伝ってくれませんか？
little,A1,小さい,/ˈlɪtəl/,General,He is a little boy.,彼は小さな男の子です。
old,A1,古い,/ˈoʊld/,General,This is an old book.,これは古い本だ。
another,A1,別の,/əˈnʌðər/,General,I would like another cup of coffee.,もう一杯コーヒーをください。
game,A1,ゲーム,/ˈɡeɪm/,Culture,Let's play a game together.,一緒にゲームをしましょう。
thing,A1,もの,/ˈθɪŋ/,General,It is a very good thing.,それはとても良いことだ。
give,A1,与える,/ˈɡɪv/,Daily,Please give me a hand.,手を貸してください。
house,A1,家、住宅,/hˈaʊs/,Daily,They bought a beautiful house near the park.,彼らは公園の近くに美しい家を買いました。
school,A1,学校,/ˈskuːl/,Academic,The children are going to school.,子供たちは学校へ行きます。
without,A1,～なしで,/wɪˈθaʊt/,General,I can't live without coffee.,私はコーヒーなしでは生きられない。
end,A1,終わり,/ˈɛnd/,Culture,The movie is almost at the end.,映画はもうすぐ終わりです。
must,A1,〜しなければならない,/ˈmʌst/,General,We must finish this project by Friday.,私たちは金曜日までにこのプロジェクトを終わらせなければなりません。
show,A1,ショー,/ˈʃoʊ/,General,They put on a great show for the audience.,彼らは観客のために素晴らしいショーを披露しました。
big,A1,大きい,/ˈbɪɡ/,General,That is a big dog.,それは大きな犬です。
feel,A1,感じる,/ˈfiːl/,Daily,I feel happy today.,私は今日、幸せを感じます。
team,A1,チーム,/ˈtiːm/,General,We are a team.,私たちはチームです。
ever,A1,今まで,/ˈɛvər/,General,Have you ever been to Japan?,今までに日本へ行ったことはありますか？
family,A1,家族,/ˈfæməli/,Daily,I love my family very much.,私は家族をとても愛している。
keep,A1,保つ,/ˈkiːp/,General,Keep the door closed.,ドアを閉めたままにしてください。
put,A1,置く、入れる,/pʊt/,Daily,Please put the keys on the counter.,鍵をカウンターの上に置いてください。
money,A1,お金,/ˈmʌni/,General,Do you have any money with you?,あなたはお金を持っていますか？
second,A1,秒,/ˈsɛkənd/,General,Wait a second.,少し待って。
someone,A1,誰か,/ˈsʌˌmwʌn/,General,There's someone at the door.,ドアに誰かがいます。
away,A1,離れて,/əˈweɪ/,Daily,The dog ran away from home.,犬が家から逃げました。
left,A1,左,/ˈlɛft/,General,Turn left at the corner.,角を左に曲がってください。
city,A1,都市,/ˈsɪti/,General,Tokyo is a very large city.,東京はとても大きな都市です。
lot,A1,たくさん、多くのこと,/lɑːt/,Daily,Thank you a lot for your kind help.,ご親切に手伝っていただき、本当にありがとうございます。
name,A1,名前,/ˈneɪm/,General,What is your name?,あなたの名前は何ですか？
night,A1,夜、晩,/naɪt/,Daily,The stars look so beautiful tonight.,今夜は星がとても美しく見えます。
play,A1,遊ぶ,/ˈpleɪ/,General,Let's go play in the park.,公園に遊びに行きましょう。
company,A1,会社,/ˈkʌmpəni/,Business,She works for a large company.,彼女は大企業で働いています。
let,A1,〜させる、〜しよう,/let/,Daily,Please let me know your final decision.,あなたの最終的な決定を私に教えてください。
real,A1,本当の,/ˈriːl/,General,This is a real diamond.,これは本物のダイヤモンドだ。
called,A1,呼ばれる,/ˈkɔld/,General,The dog is called Max.,その犬はマックスと呼ばれています。
different,A1,違う,/ˈdɪfərənt/,General,We have different opinions.,私たちは違う意見を持っている。
however,A1,しかしながら,/ˌhaʊˈɛvər/,Nature,"The weather was bad; however, we went for a walk.",天気は悪かった。しかしながら、私たちは散歩に出かけた。
getting,A1,なってきている,/ˈɡɛtɪŋ/,General,It's getting colder outside.,外は寒くなってきています。
group,A1,グループ,/ˈɡruːp/,General,We worked together in a group to complete the task.,私たちはグループで協力してタスクを完了しました。
looking,A1,探している,/ˈlʊkɪŋ/,General,She is looking for her keys.,彼女は鍵を探している。
women,A1,女性,/ˈwɪmən/,General,There were many women at the meeting.,会議にはたくさんの女性がいた。
business,A1,ビジネス,/ˈbɪznəs/,Business,He has a successful business.,彼は成功したビジネスを営んでいます。
start,A1,始める,/ˈstɑrt/,General,Let's start the meeting.,会議を始めましょう。
week,A1,週,/ˈwiːk/,General,I will see you next week.,来週会いましょう。
anything,A1,何か,/ˈɛniˌθɪŋ/,Daily,Do you want anything to drink?,何か飲み物はいかがですか？
nothing,A1,何も,/ˈnʌθɪŋ/,General,There is nothing to do tonight.,今夜は何をするにもない。
person,A1,人,/ˈpɜːrsən/,General,She is a very kind person.,彼女はとても親切な人です。
today,A1,今日,/təˈdeɪ/,General,What are you doing today?,今日は何をしていますか？
change,A1,変化,/ˈtʃeɪndʒ/,General,There has been a big change in my life.,私の人生に大きな変化があった。
enough,A1,十分な,/ɪˈnʌf/,General,Do you have enough money?,あなたはお金が十分にありますか？
everything,A1,すべて,/ˈɛvriˌθɪŋ/,General,I have everything I need.,必要なものはすべて持っています。
full,A1,満腹,/ˈfʊl/,General,"I'm full, thank you.",お腹いっぱいです、ありがとう。
live,A1,住む,/ˈlaɪv/,General,They live in a small apartment.,彼らは小さなアパートに住んでいる。
read,A1,読む,/ˈrɛd/,Daily,I like to read books before bed.,寝る前に本を読むのが好きです。
told,A1,言った,/ˈtoʊld/,General,He told me the truth.,彼は私に真実を言った。
bad,A1,悪い,/ˈbæd/,Nature,The weather is bad today.,今日の天気は悪いです。
four,A1,四,/ˈfɔr/,Daily,There are four chairs in the room.,部屋には4つの椅子があります。
hard,A1,難しい,/ˈhɑrd/,General,The test was very hard.,テストはとても難しかったです。
mean,A1,意味する,/ˈmiːn/,Culture,What do you mean?,どういう意味ですか？
tell,A1,言う,/ˈtɛl/,Daily,Can you tell me the time?,時間を教えてもらえますか？
music,A1,音楽,/ˈmjuːzɪk/,Culture,I like to listen to music.,私は音楽を聴くのが好きです。
seen,A1,見た,/ˈsiːn/,Culture,Have you seen that movie?,あなたはその映画を見ましたか？
stop,A1,止まる,/ˈstɑp/,General,Please stop the car here.,ここに車を止めてください。
water,A1,水,/ˈwɔtər/,Daily,I drink a lot of water every day.,私は毎日たくさんの水を飲みます。
believe,A1,信じる,/bɪˈliːv/,General,I believe in you.,私はあなたを信じている。
call,A1,電話する,/ˈkɔl/,Daily,I will call you later.,後で電話します。
men,A1,男性,/ˈmɛn/,Daily,There were many men in the room.,部屋にはたくさんの男性がいました。
small,A1,小さい,/ˈsmɔl/,General,This is a small dog.,これは小さな犬です。
took,A1,取った,/ˈtʊk/,General,He took my book.,彼は私の本を取りました。
white,A1,白い、白色,/waɪt/,Daily,She wore a lovely white dress to the party.,彼女はパーティーに素敵な白いドレスを着ていきました。
came,A1,来た,/ˈkeɪm/,Daily,He came to my house yesterday.,彼は昨日私の家に来ました。
far,A1,遠い,/ˈfɑr/,Daily,The beach is not too far from our house.,ビーチは私たちの家からそれほど遠くありません。
job,A1,仕事,/ˈdʒɑb/,Business,I'm looking for a new job.,私は新しい仕事を探しています。
try,A1,試す,/ˈtraɪ/,General,I will try my best.,私は最善を尽くします。
went,A1,行った,/ˈwɛnt/,General,We went to the park yesterday.,私たちは昨日公園に行きました。
yes,A1,はい,/ˈjɛs/,General,"Yes, I will be there.",はい、私はそこに行きます。
american,A1,アメリカ人,/əˈmɛrəkən/,General,She is an American citizen.,彼女はアメリカ市民です。
later,A1,後で,/ˈleɪtər/,General,See you later.,また後でね。
order,A1,注文、順番、命令,/ˈɔːrdɚ/,Business,Are you ready to order your food?,お料理のご注文はお決まりですか？
party,A1,パーティー,/ˈpɑrti/,General,We are having a party next week.,私たちは来週パーティーを開く。
run,A1,走る,/ˈrʌn/,Daily,I like to run in the morning.,私は朝に走るのが好きです。
country,A1,国,/ˈkʌntri/,Culture,I want to travel to different countries.,私はさまざまな国を旅行したいです。
open,A1,開ける,/ˈoʊpən/,General,Please open the window.,窓を開けてください。
thank,A1,感謝する,/ˈθæŋk/,General,I want to thank you for your help.,あなたの助けに感謝したいです。
children,A1,子供たち,/ˈtʃɪldrən/,Daily,The children are playing in the yard.,子供たちは庭で遊んでいます。
everyone,A1,みんな,/ˈɛvriˌwʌn/,General,Everyone should listen to the teacher.,みんな先生の話を聞くべきです。
using,A1,使って,/ˈjuːzɪŋ/,Science,I am using my computer.,私はコンピュータを使っている。
area,A1,地域,/ˈɛriə/,General,This is a residential area.,ここは住宅地域です。
black,A1,黒,/ˈblæk/,General,My car is black.,私の車は黒です。
together,A1,一緒に,/təˈɡɛðər/,General,Let's do this together.,これを一緒にやりましょう。
car,A1,車,/kˈɑːr/,General,The car are driving on the road.,車が道路を走っています。
five,A1,五,/ˈfaɪv/,General,There are five apples on the table.,テーブルの上に5つのリンゴがあります。
kind,A1,親切な,/ˈkaɪnd/,Daily,He is a very kind person.,彼はとても親切な人だ。
maybe,A1,多分,/ˈmeɪbi/,General,Maybe we can go to the park tomorrow.,多分、明日公園に行けるでしょう。
story,A1,物語,/ˈstɔri/,General,He told me a funny story.,彼は私に面白い物語を話してくれた。
course,A1,コース,/kˈɔːrs/,General,Which course are you taking?,どのコースを受講していますか？
health,A1,健康,/ˈhɛlθ/,Science,Good health is very important.,健康はとても重要です。
hope,A1,希望,/ˈhoʊp/,General,I have hope for a better future.,私はより良い未来への希望を持っています。
important,A1,重要,/ɪˈmpɔrtənt/,Daily,It is important to be on time.,時間厳守は重要です。
news,A1,ニュース,/ˈnuːz/,General,Did you hear the news about the accident?,その事故のニュースを聞きましたか？
book,A1,本・書籍,/bʊk/,Daily,She loves to read a fascinating book before bed.,彼女は寝る前に魅力的な本を読むのが大好きです。
early,A1,早い,/ˈɜːrli/,Daily,I woke up early this morning.,私は今朝早く起きた。
information,A1,情報,/ˌɪnfərˈmeɪʃən/,General,We need more information about the project.,私たちはそのプロジェクトについてもっと情報が必要だ。
post,A1,投稿,/ˈpoʊst/,General,She made a post about her vacation.,彼女は休暇について投稿しました。
thanks,A1,感謝,/ˈθæŋks/,General,Thank you for your help.,手伝ってくれてありがとう。
video,A1,ビデオ,/ˈvɪdioʊ/,General,They made a video of the birthday party.,彼らは誕生日パーティーのビデオを作りました。
ago,A1,～前,/əˈɡoʊ/,General,I saw him a few days ago.,私は彼に数日前に会いました。
others,A1,他の人たち,/ˈʌðərz/,General,"Some people like coffee, others prefer tea.",コーヒーが好きな人もいれば、お茶を好む人もいる。
talk,A1,話す,/ˈtɔk/,Daily,We need to talk about this problem.,この問題について話し合う必要があります。
fact,A1,事実,/ˈfækt/,General,It's a fact that the Earth is round.,地球が丸いのは事実です。
half,A1,半分,/ˈhæf/,General,I ate half of the cake.,私はケーキの半分を食べました。
often,A1,しばしば,/ˈɔfən/,Daily,We often go for a walk in the park.,私たちはしばしば公園に散歩に行きます。
become,A1,になる,/bɪˈkʌm/,General,I want to become a teacher.,私は先生になりたい。
body,A1,体,/bˈɑːdiː/,Culture,Our bodies need exercise and healthy food.,私たちの体には運動と健康的な食べ物が必要です。
coming,A1,来ている,/ˈkʌmɪŋ/,General,He is coming to visit us soon.,彼は近いうちに私たちを訪ねに来ます。
food,A1,食べ物,/fˈuːd/,Business,There are many different food at the market.,市場にはたくさんのさまざまな食べ物があります。
office,A1,オフィス,/ˈɔːfəs/,Business,She works at the office.,彼女はオフィスで働いています。
pay,A1,支払う,/ˈpeɪ/,General,I need to pay the bills.,私は請求書を支払う必要があります。
problem,A1,問題,/ˈprɑbləm/,General,We have a problem with the car's engine.,車のエンジンに問題があります。
south,A1,南,/ˈsaʊθ/,General,The city is located in the south of the country.,その都市は国の南部に位置しています。
true,A1,真実,/ˈtruː/,General,Is that story true?,その話は本当ですか？
history,A1,歴史,/ˈhɪstəri/,Culture,I enjoy learning about world history.,私は世界史を学ぶのが好きだ。
large,A1,大きい,/ˈlɑrdʒ/,Daily,They have a large house.,彼らは大きな家を持っている。
room,A1,部屋,/rˈuːm/,Daily,The hotel has many room for guests.,そのホテルには宿泊客のための部屋がたくさんある。
started,A1,始めた,/ˈstɑrtəd/,Culture,The movie started at 7 pm.,映画は午後7時に始まった。
taking,A1,取っている,/ˈteɪkɪŋ/,General,She is taking a picture.,彼女は写真を撮っている。
university,A1,大学,/jˌuːnəvˈɜːrsətiː/,Academic,There are many universities in the city.,その都市にはたくさんの大学がある。
win,A1,勝利,/wˈɪn/,General,The team win the championship.,そのチームは選手権に勝利する。
anyone,A1,誰か,/ˈɛniˌwʌn/,General,Does anyone know the answer to this question?,この質問の答えを知っている人はいますか？
else,A1,他に,/ˈels/,General,What else can I do?,他に何ができる？
girl,A1,女の子たち,/ɡˈɜːrl/,General,The girl were laughing and chatting.,女の子たちは笑ったりおしゃべりしたりしていました。
pretty,A1,可愛い,/ˈprɪti/,Daily,She has a pretty smile.,彼女は可愛い笑顔をしています。
remember,A1,覚えている,/rɪˈmɛmbər/,General,I don't remember her name.,彼女の名前を覚えていない。
air,A1,空気,/ˈɛr/,Nature,I need some fresh air.,私は新鮮な空気が必要です。
friend,A1,友達,/ˈfrɛnd/,Daily,She is my best friend.,彼女は私の親友です。
nice,A1,良い,/nˈaɪs/,General,It's a very nice day.,今日はとても良い日です。
playing,A1,遊んでいる,/ˈpleɪɪŋ/,General,The children were playing in the park.,子供たちは公園で遊んでいた。
probably,A1,おそらく,/ˈprɑbəbli/,General,I'll probably be late.,私はおそらく遅れるだろう。
saying,A1,言っている,/ˈseɪɪŋ/,General,What are you saying?,あなたは何を言っているのですか？
understand,A1,理解する,/ˌʌndərˈstænd/,General,I don't understand the question.,私は質問が理解できない。
class,A1,授業,/ˈklæsəz/,Academic,She takes piano classes on Mondays.,彼女は月曜日にピアノの授業を受けています。
close,A1,閉じる,/klˈoʊs/,General,The store close at 9 PM.,その店は午後9時に閉店します。
idea,A1,アイデア,/aɪdˈiːə/,General,We need some new idea for the project.,私たちはプロジェクトのためのいくつかの新しいアイデアが必要です。
looks,A1,見た目,/ˈlʊks/,Daily,She looks very happy today.,彼女は今日とても嬉しそうだ。
past,A1,過去,/ˈpæst/,General,The past is the past.,過去は過去です。
possible,A1,可能,/ˈpɑsəbəl/,General,Is it possible to finish this today?,今日これを終えることは可能ですか？
wanted,A1,欲しかった,/ˈwɑntəd/,General,He wanted a new bicycle for his birthday.,彼は誕生日に新しい自転車を欲しがっていました。
happy,A1,幸せ,/ˈhæpi/,Daily,I am very happy to see you.,あなたに会えてとても幸せです。
move,A1,動く,/ˈmuːv/,General,He asked her to move.,彼は彼女に動くように頼んだ。
wait,A1,待つ,/ˈweɪt/,General,Please wait for a moment.,少々お待ちください。
woman,A1,女性,/ˈwʊmən/,General,She is a smart woman.,彼女は賢い女性です。
ask,A1,尋ねる,/ˈæsk/,General,You should ask your teacher if you don't understand.,理解できない場合は先生に尋ねるべきです。
late,A1,遅い,/ˈleɪt/,General,I am late for my appointment.,私は予約に遅れています。
leave,A1,出発する,/ˈliːv/,Travel,We have to leave for the airport soon.,私たちはすぐに空港に向けて出発しなければならない。
north,A1,北,/ˈnɔrθ/,General,The city is located in the north of the country.,その都市は国の北部に位置しています。
saw,A1,見た,/ˈsɔ/,Nature,I saw a bird in the garden.,私は庭で鳥を見ました。
special,A1,特別な,/ˈspɛʃəl/,General,This is a special day for us.,今日は私たちにとって特別な日です。
watch,A1,腕時計,/ˈwɑtʃ/,Daily,I want to buy a watch.,腕時計を買いたいです。
future,A1,未来,/ˈfjuːtʃər/,General,What are your plans for the future?,あなたの将来の計画は何ですか？
million,A1,数百万,/mˈɪljən/,General,There are million of stars in the sky.,空には数百万の星があります。
morning,A1,朝,/ˈmɔrnɪŋ/,Daily,I drink coffee every morning.,私は毎朝コーヒーを飲みます。
police,A1,警察,/pəlˈiːs/,General,The police arrived at the scene.,警察が現場に到着した。
short,A1,短い,/ˈʃɔrt/,Culture,The movie was too short.,その映画は短すぎました。
stay,A1,滞在する,/ˈsteɪ/,Daily,I will stay at home today.,私は今日家にいます。
taken,A1,取られた,/ˈteɪkən/,General,The seat was already taken.,その席はすでに取られていた。
buy,A1,買う,/ˈbaɪ/,Daily,I want to buy a new car.,新しい車を買いたいです。
reason,A1,理由,/rˈiːzən/,Daily,There are many reason to be happy.,幸せになる理由はたくさんあります。
red,A1,赤い,/ˈrɛd/,General,The apple is red.,そのリンゴは赤い。
soon,A1,すぐに,/ˈsuːn/,General,I will be there soon.,私はすぐにそこに行くでしょう。
third,A1,3番目,/ˈθɜːrd/,Daily,He came in third place.,彼は3位になりました。
turn,A1,曲がる,/tˈɜːrn/,General,Turn left at the corner.,角を左に曲がってください。
check,A1,チェック,/tʃˈek/,Daily,He always check his email in the morning.,私はいつも朝にメールをチェックします。
form,A1,形,/ˈfɔrm/,General,The clouds took the form of a heart.,雲はハートの形になりました。
minutes,A1,分,/ˈmɪnəts/,General,I'll be there in a few minutes.,数分でそこに着きます。
asked,A1,尋ねた,/ˈæskt/,General,He asked me for directions.,彼は私に道順を尋ねた。
child,A1,子供,/ˈtʃaɪld/,Daily,That child is very cute.,その子供はとてもかわいいです。
fun,A1,楽しい,/ˈfʌn/,Daily,We had a lot of fun at the party.,私たちはパーティーでとても楽しかったです。
phone,A1,電話,/ˈfoʊn/,Daily,I need to charge my phone.,私は電話を充電する必要がある。
art,A1,芸術,/ˈɑːrt/,Culture,The art are important to society.,芸術は社会にとって重要だ。
behind,A1,後ろに,/bɪˈhaɪnd/,General,The ball is behind the chair.,ボールは椅子の後ろにあります。
building,A1,建物,/ˈbɪldɪŋ/,General,That is a tall building.,あれは高い建物です。
easy,A1,簡単,/ˈiːzi/,General,This question is very easy.,この質問はとても簡単です。
near,A1,近い,/ˈnɪr/,Daily,The supermarket is near my house.,スーパーマーケットは私の家の近くにあります。
plan,A1,計画,/ˈplæn/,General,What is the plan for the weekend?,週末の計画は何ですか？
quite,A1,かなり,/ˈkwaɪt/,Culture,The movie was quite interesting.,その映画はかなり面白かった。
six,A1,6,/ˈsɪks/,General,I have six apples.,私はリンゴを6つ持っています。
west,A1,西,/ˈwɛst/,Nature,The sun sets in the west.,太陽は西に沈みます。
front,A1,正面,/ˈfrʌnt/,General,The restaurant is on the front of the building.,そのレストランは建物の正面にあります。
list,A1,リスト,/ˈlɪst/,General,Make a list of things.,物のリストを作成してください。
ready,A1,準備ができている,/ˈrɛdi/,General,Are you ready for the test?,あなたはテストの準備はできていますか？
sometimes,A1,時々,/səˈmtaɪmz/,General,Sometimes I feel like giving up.,時々、諦めたくなる。
son,A1,息子たち,/sˈʌn/,General,She has two son.,彼女には2人の息子がいます。
street,A1,通り,/ˈstriːt/,General,They live on this street.,彼らはこの通りに住んでいます。
bring,A1,持ってくる,/ˈbrɪŋ/,General,Can you bring your book to class tomorrow?,明日、あなたの本を授業に持ってきてくれますか？
college,A1,大学,/kˈɑːlɪdʒ/,Academic,She applied to several college in the state.,私は州内のいくつかの大学に応募した。
example,A1,例,/ɪˈɡzæmpəl/,General,This is a good example of teamwork.,これはチームワークの良い例だ。
meet,A1,会う,/ˈmiːt/,General,Let's meet at the cafe.,カフェで会いましょう。
baby,A1,赤ちゃん,/ˈbeɪbi/,General,The baby is sleeping in the crib.,赤ちゃんはベビーベッドで寝ている。
father,A1,父,/ˈfɑðər/,General,My father is a teacher.,私の父は先生です。
song,A1,歌,/ˈsɔŋ/,Culture,That's my favorite song!,それは私のお気に入りの歌です！
study,A1,勉強,/ˈstʌdi/,Academic,I need to study for the exam.,私は試験のために勉強する必要がある。
word,A1,単語,/wˈɜːrd/,General,Learn new word every day.,毎日新しい単語を学びましょう。
across,A1,横切って,/əˈkrɔs/,General,She walked across the street.,彼女は通りを横切って歩いた。
action,A1,行動,/ˈækʃən/,General,His action was very brave.,彼の行動はとても勇敢だった。
month,A1,数ヶ月,/mˈʌnθ/,Nature,We haven't seen each other for month.,私たちは数ヶ月会っていません。
cost,A1,費用,/ˈkɑst/,General,What's the cost of the repair?,修理費用はいくらですか？
cut,A1,切る,/ˈkʌt/,General,Please cut the paper.,紙を切ってください。
main,A1,主な,/ˈmeɪn/,Daily,The main problem is the lack of time.,主な問題は時間不足です。
moment,A1,瞬間,/ˈmoʊmənt/,General,I will remember this moment forever.,私はこの瞬間を永遠に忘れないでしょう。
mother,A1,母親たち,/mˈʌðɚ/,Daily,The mother were chatting at the park.,母親たちは公園でおしゃべりをしていました。
road,A1,道,/ˈroʊd/,General,The road was very long.,道はとても長かった。
town,A1,町,/ˈtaʊn/,General,She lives in a small town.,彼女は小さな町に住んでいます。
fine,A1,元気な・素晴らしい・晴れた,/faɪn/,Daily,The weather is fine and sunny today.,今日の天気は晴れて素晴らしいです。
hear,A1,聞く,/ˈhiːr/,Culture,Can you hear the music?,音楽が聞こえますか？
space,A1,空間,/spˈeɪs/,Science,There are many parking space available in the lot.,その駐車場には多くの駐車スペースがある。
summer,A1,夏,/ˈsʌmər/,Nature,I love going to the beach in the summer.,夏にビーチに行くのが大好きです。
wife,A1,妻たち,/wˈaɪf/,General,The men are talking about their wives.,男たちは妻たちのことを話しています。
beautiful,A1,美しい,/ˈbjuːtəfəl/,General,The sunset was beautiful.,夕日は美しかった。
date,A1,日付・日時・デート,/deɪt/,General,What is the date of the upcoming meeting?,今度の会議の日付は何日ですか？
miss,A1,見逃す,/ˈmɪsəz/,Daily,She misses her family when she travels.,彼女は旅行中、家族を恋しがります。
strong,A1,強い,/ˈstrɔŋ/,General,He is a very strong man.,彼はとても強い男です。
include,A1,含む,/ɪˈnkluːd/,General,The list does not include my name.,そのリストには私の名前が含まれていない。
period,A1,期間,/ˈpɪriəd/,General,This is a difficult period for her.,これは彼女にとって困難な時期です。
similar,A1,似た,/ˈsɪmələr/,General,These two dresses are very similar.,これらの2つのドレスは非常に似ています。
club,A1,クラブ,/klˈʌb/,General,He plays for one of the local football club.,私は地元のフットボールクラブの1つでプレーしています。
common,A1,共通の,/ˈkɑmən/,General,That's a common problem.,それはよくある問題だ。
perfect,A1,完璧,/pərˈfɛkt/,Nature,The weather was perfect today.,今日は完璧な天気でした。
personal,A1,個人的な,/ˈpɜːrsɪnɪl/,General,This is my personal opinion.,これは私の個人的な意見です。
share,A1,共有する,/ˈʃɛr/,General,Let's share the pizza.,ピザを分け合おう。
happen,A1,起こる,/ˈhæpən/,General,What will happen next?,次に何が起こるでしょうか？
online,A1,オンライン,/ˈɔˌnlaɪn/,Daily,I shop online frequently.,私は頻繁にオンラインで買い物をする。
player,A1,選手,/ˈpleɪər/,Daily,He is a good football player.,彼は優秀なサッカー選手です。
return,A1,戻る,/rɪˈtɜːrn/,General,I will return the book tomorrow.,私は明日その本を返します。
