row_id,word,orig_CEFR,new_CEFR,orig_JP,new_JP,orig_IPA,new_IPA,orig_Ex,new_Ex,orig_Ex_JP,new_Ex_JP,reasons
280,club,A1,A1,クラブ,クラブ,/ˈklʌbz/,/klˈʌb/,He plays for one of the local football clubs.,He plays for one of the local football club.,彼は地元のフットボールクラブの1つでプレーしています。,私は地元のフットボールクラブの1つでプレーしています。,屈折IPAの原形化 / 例文の原形主語整合化
289,test,A1,A1,テスト,テスト,/ˈtɛsts/,/tˈest/,I have several tests next week.,I have several test next week.,来週、いくつかのテストがあります。,来週、いくつかのテストがあります。,屈折IPAの原形化 / 例文の原形主語整合化
297,design,A1,A1,デザイン,デザイン,/dɪˈzaɪnz/,/dɪzˈaɪn/,The architect presented several different designs for the new building.,The architect presented several different design for the new building.,建築家は新しい建物のためにいくつかの異なるデザインを提示しました。,建築家は新しい建物のためにいくつかの異なるデザインを提示しました。,屈折IPAの原形化 / 例文の原形主語整合化
306,meeting,A1,A1,会議,会議,/ˈmiːtɪŋz/,/mˈiːtɪŋ/,I have a lot of meetings today.,I have a lot of meeting today.,今日はたくさんの会議がある。,今日はたくさんの会議がある。,屈折IPAの原形化 / 例文の原形主語整合化
314,drive,A1,A1,運転する,運転する,/ˈdraɪvz/,/drˈaɪv/,She drives to work every morning.,I drive to work every morning.,彼女は毎朝車で仕事に行く。,私は毎朝車で仕事に行く。,屈折IPAの原形化 / 例文の原形主語整合化
323,science,A1,A1,科学,科学,/ˈsaɪənsəz/,/sˈaɪəns/,She is studying the natural sciences.,She is studying the natural science.,彼女は自然科学を学んでいる。,私は自然科学を学んでいる。,屈折IPAの原形化 / 例文の原形主語整合化
327,hate,A1,A1,嫌っている,嫌っている,/ˈheɪts/,/hˈeɪt/,She hates being late.,I hate being late.,彼女は遅れるのが嫌いだ。,私は遅れるのが嫌いだ。,屈折IPAの原形化 / 例文の原形主語整合化
329,send,A1,A1,送る,送る,/ˈsɛndz/,/sˈend/,She sends a letter to her friend.,I send a letter to her friend.,彼女は友達に手紙を送る。,私は友達に手紙を送る。,屈折IPAの原形化 / 例文の原形主語整合化
330,style,A1,A1,スタイル,スタイル,/ˈstaɪlz/,/stˈaɪl/,Everyone has their own unique styles.,Everyone has their own unique style.,誰もが独自のスタイルを持っている。,誰もが独自のスタイルを持っている。,屈折IPAの原形化 / 例文の原形主語整合化
332,complete,A1,A1,完了する,完了する,/kəˈmpliːts/,/kəmplˈiːt/,He completes his homework quickly.,I complete his homework quickly.,彼は宿題をすぐに完了する。,私は宿題をすぐに完了する。,屈折IPAの原形化 / 例文の原形主語整合化
334,language,A1,A1,言語,言語,/ˈlæŋɡwədʒəz/,/lˈæŋɡwədʒ/,How many languages do you speak?,How many language do you speak?,あなたはいくつ言語を話せますか？,あなたはいくつ言語を話せますか？,屈折IPAの原形化 / 例文の原形主語整合化
336,article,A1,A1,記事,記事,/ˈɑrtəkəlz/,/ˈɑːrtəkəl/,She writes articles for a magazine.,She writes article for a magazine.,彼女は雑誌に記事を書いている。,私は雑誌に記事を書いている。,屈折IPAの原形化 / 例文の原形主語整合化
338,enjoy,A1,A1,楽しむ,楽しむ,/ɛˈndʒɔɪz/,/endʒˈɔɪ/,He enjoys playing the piano.,I enjoy playing the piano.,彼はピアノを弾くのを楽しむ。,私はピアノを弾くのを楽しむ。,屈折IPAの原形化 / 例文の原形主語整合化
340,situation,A1,A1,状況,状況,/ˌsɪtʃuˈeɪʃənz/,/sˌɪtʃuːˈeɪʃən/,They have to deal with many difficult situations in their job.,They have to deal with many difficult situation in their job.,彼らは仕事で多くの難しい状況に対処しなければならない。,彼らは仕事で多くの難しい状況に対処しなければならない。,屈折IPAの原形化 / 例文の原形主語整合化
344,lose,A1,A1,失う,失う,/ˈluːz/,/lˈuːz/,I don't want to lose my keys.,I don't want to lose my keys.,私は鍵を失くしたくない。,私は鍵を失くしたくない。,屈折IPAの原形化
349,daughter,A1,A1,娘たち,娘たち,/ˈdɔtərz/,/dˈɔːtɚ/,They have two beautiful daughters.,They have two beautiful daughter.,彼らには2人の美しい娘がいます。,彼らには2人の美しい娘がいます。,屈折IPAの原形化 / 例文の原形主語整合化
361,practice,A1,A1,練習,練習,/ˈpræktəs/,/prˈæktəs/,Practice makes perfect.,Practice makes perfect.,練習すれば完璧になる。,練習すれば完璧になる。,屈折IPAの原形化
362,sea,A1,A1,海,海,/ˈsiːz/,/sˈiː/,The ship sailed across the seas.,The ship sailed across the sea.,船は海を渡って航海した。,船は海を渡って航海した。,屈折IPAの原形化 / 例文の原形主語整合化
365,table,A1,A1,テーブル,テーブル,/ˈteɪbəlz/,/tˈeɪbəl/,We need more tables for the party.,We need more table for the party.,パーティーのためにもっとテーブルが必要です。,パーティーのためにもっとテーブルが必要です。,屈折IPAの原形化 / 例文の原形主語整合化
367,ball,A1,A1,ボール,ボール,/ˈbɔlz/,/bˈɔːl/,The children are playing with balls.,The children are playing with ball.,子供たちはボールで遊んでいます。,子供たちはボールで遊んでいます。,屈折IPAの原形化 / 例文の原形主語整合化
369,build,A1,A1,建設する,建設する,/ˈbɪldz/,/bˈɪld/,The company builds houses and apartments.,The company build houses and apartments.,その会社は家やアパートを建設している。,その会社は家やアパートを建設している。,屈折IPAの原形化 / 例文の原形主語整合化
371,piece,A1,A1,かけら,かけら,/ˈpiːsəz/,/pˈiːs/,We found some broken pieces of glass.,We found some broken piece of glass.,私たちはいくつかの壊れたガラスのかけらを見つけました。,私たちはいくつかの壊れたガラスのかけらを見つけました。,屈折IPAの原形化 / 例文の原形主語整合化
376,river,A1,A1,川,川,/ˈrɪvərz/,/rˈɪvɚ/,The city has several beautiful rivers running through it.,The city has several beautiful river running through it.,その都市にはいくつかの美しい川が流れている。,その都市にはいくつかの美しい川が流れている。,屈折IPAの原形化 / 例文の原形主語整合化
380,century,A1,A1,世紀,世紀,/ˈsɛntʃəriz/,/sˈentʃɚiː/,It has been here for centuries.,It has been here for centuries.,それは何世紀にもわたってここにある。,それは何世紀にもわたってここにある。,屈折IPAの原形化
382,create,A1,A1,創造する,創造する,/kriˈeɪts/,/kriːˈeɪt/,The artist creates beautiful sculptures.,The artist create beautiful sculptures.,その芸術家は美しい彫刻を創造する。,その芸術家は美しい彫刻を創造する。,屈折IPAの原形化 / 例文の原形主語整合化
384,eye,A1,A1,目,目,/ˈaɪz/,/ˈaɪ/,She has beautiful blue eyes.,She has beautiful blue eye.,彼女は美しい青い目をしています。,私は美しい青い目をしています。,屈折IPAの原形化 / 例文の原形主語整合化
390,difference,A1,A1,違い,違い,/ˈdɪfərəns/,/dˈɪfɚəns/,There is a big difference between the two.,There is a big difference between the two.,その二つの間には大きな違いがある。,その二つの間には大きな違いがある。,屈折IPAの原形化
391,island,A1,A1,島々,島々,/ˈaɪləndz/,/ˈaɪlənd/,There are many beautiful islands.,There are many beautiful island.,美しい島々がたくさんあります。,美しい島々がたくさんあります。,屈折IPAの原形化 / 例文の原形主語整合化
393,station,A1,A1,駅,駅,/ˈsteɪʃənz/,/stˈeɪʃən/,The train stops at several stations.,The train stops at several station.,列車はいくつかの駅に停車します。,列車はいくつかの駅に停車します。,屈折IPAの原形化 / 例文の原形主語整合化
394,beginning,A1,A1,始まり,始まり,/bɪˈɡɪnɪŋz/,/bɪɡˈɪnɪŋ/,The book describes the beginnings of the city.,The book describes the beginning of the city.,その本は都市の始まりを描いています。,その本は都市の始まりを描いています。,屈折IPAの原形化 / 例文の原形主語整合化
399,join,A1,A1,加わる,加わる,/ˈdʒɔɪnz/,/dʒˈɔɪn/,He joins our club next month.,I join our club next month.,彼は来月私たちのクラブに加わる。,私は来月私たちのクラブに加わる。,屈折IPAの原形化 / 例文の原形主語整合化
400,message,A1,A1,メッセージ,メッセージ,/ˈmɛsədʒəz/,/mˈesədʒ/,I received many messages on my birthday.,I received many message on my birthday.,私は誕生日にたくさんのメッセージを受け取りました。,私は誕生日にたくさんのメッセージを受け取りました。,屈折IPAの原形化 / 例文の原形主語整合化
407,sell,A1,A1,売っている,売っている,/ˈsɛlz/,/sˈel/,The store sells a variety of items.,The store sell a variety of items.,その店は様々な商品を売っている。,その店は様々な商品を売っている。,屈折IPAの原形化 / 例文の原形主語整合化
408,agree,A1,A1,同意する,同意する,/əˈɡriːz/,/əɡrˈiː/,He agrees with my opinion.,I agree with my opinion.,彼は私の意見に同意する。,私は私の意見に同意する。,屈折IPAの原形化 / 例文の原形主語整合化
410,computer,A1,A1,コンピューター,コンピューター,/kəˈmpjuːtərz/,/kəmpjˈuːtɚ/,We use computers for our work.,We use computer for our work.,私たちは仕事でコンピューターを使います。,私たちは仕事でコンピューターを使います。,屈折IPAの原形化 / 例文の原形主語整合化
412,spend,A1,A1,費やす,費やす,/ˈspɛndz/,/spˈend/,She spends a lot of time reading.,I spend a lot of time reading.,彼女は読書に多くの時間を費やします。,私は読書に多くの時間を費やします。,屈折IPAの原形化 / 例文の原形主語整合化
413,statement,A1,A1,声明,声明,/ˈsteɪtmənts/,/stˈeɪtmənt/,The politician made several statements.,The politician made several statement.,その政治家はいくつかの声明を発表した。,その政治家はいくつかの声明を発表した。,屈折IPAの原形化 / 例文の原形主語整合化
416,train,A1,A1,電車,電車,/ˈtreɪnz/,/trˈeɪn/,The trains are very crowded during rush hour.,The train are very crowded during rush hour.,電車はラッシュアワーの間、非常に混雑しています。,電車はラッシュアワーの間、非常に混雑しています。,屈折IPAの原形化 / 例文の原形主語整合化
417,dad,A1,A1,お父さんたち,お父さんたち,/ˈdædz/,/dˈæd/,All the dads cheered for their kids.,All the dad cheered for their kids.,すべてのお父さんたちは子供たちを応援しました。,すべてのお父さんたちは子供たちを応援しました。,屈折IPAの原形化 / 例文の原形主語整合化
424,floor,A1,A1,階,階,/ˈflɔrz/,/flˈɔːr/,Their office is on the third floors.,Their office is on the third floor.,彼らのオフィスは3階にあります。,彼らのオフィスは3階にあります。,屈折IPAの原形化 / 例文の原形主語整合化
426,dance,A1,A1,ダンス,ダンス,/ˈdæns/,/dˈæns/,They like to dance to the music.,They like to dance to the music.,彼らは音楽に合わせて踊るのが好きです。,彼らは音楽に合わせて踊るのが好きです。,屈折IPAの原形化
432,choose,A1,A1,選ぶ,選ぶ,/ˈtʃuːz/,/tʃˈuːz/,You can choose any item you like.,You can choose any item you like.,好きな品物を選んでいいですよ。,好きな品物を選んでいいですよ。,屈折IPAの原形化
438,drink,A1,A1,飲む・飲み物,飲む、飲み物,/drɪŋk/,/drɪŋk/,I drink plenty of water every morning.,I always drink a glass of water after waking up.,私は毎朝たくさんの水を飲みます。,私は起きた後にいつもコップ1杯の水を飲みます。,精査マスター辞書による完全整合化
441,machine,A1,A1,機械,機械,/məˈʃiːnz/,/məʃˈiːn/,The factory has many machines.,The factory has many machine.,その工場には多くの機械があります。,その工場には多くの機械があります。,屈折IPAの原形化 / 例文の原形主語整合化
445,plant,A1,A1,植物・草木,植物・草木,/plænt/,/plænt/,Remember to water the house plants regularly.,Remember to water the house plant regularly.,観葉植物に定期的に水をあげるのを忘れないでください。,観葉植物に定期的に水をあげるのを忘れないでください。,例文の原形主語整合化
447,advice,A1,A1,アドバイス,アドバイス,/æˈdvaɪs/,/ædvˈaɪs/,I need some advice on how to fix my car.,I need some advice on how to fix my car.,車の修理方法についてアドバイスが必要です。,車の修理方法についてアドバイスが必要です。,屈折IPAの原形化
448,shop,A1,A1,お店,お店,/ˈʃɑps/,/ʃˈɑːp/,There are many shops on this street.,There are many shop on this street.,この通りにはたくさんのお店があります。,この通りにはたくさんのお店があります。,屈折IPAの原形化 / 例文の原形主語整合化
456,activity,A1,A1,活動,活動,/æˈktɪvətiz/,/æktˈɪvətiː/,The park offers many outdoor activities.,The park offers many outdoor activities.,その公園ではたくさんのアウトドア活動を提供しています。,その公園ではたくさんのアウトドア活動を提供しています。,屈折IPAの原形化
459,flight,A1,A1,フライト,フライト,/ˈflaɪts/,/flˈaɪt/,Our flights were delayed due to the storm.,Our flight were delayed due to the storm.,私たちのフライトは嵐のために遅延しました。,私たちのフライトは嵐のために遅延しました。,屈折IPAの原形化 / 例文の原形主語整合化
460,interview,A1,A1,インタビュー,インタビュー,/ˈɪntərˌvjuːz/,/ˈɪntɚvjˌuː/,They are conducting interviews for the new job.,They are conducting interview for the new job.,彼らは新しい仕事のためにインタビューを実施しています。,彼らは新しい仕事のためにインタビューを実施しています。,屈折IPAの原形化 / 例文の原形主語整合化
467,airport,A1,A1,空港,空港,/ˈɛˌrpɔrts/,/ˈerpˌɔːrt/,The airports were very crowded today.,The airport were very crowded today.,今日は空港が非常に混雑していた。,今日は空港が非常に混雑していた。,屈折IPAの原形化 / 例文の原形主語整合化
473,twice,A1,A1,2回,2回,/ˈtwaɪs/,/twˈaɪs/,I go to the gym twice a week.,I go to the gym twice a week.,私は週に2回ジムに行きます。,私は週に2回ジムに行きます。,屈折IPAの原形化
475,cent,A1,A1,セント,セント,/ˈsɛnts/,/sˈent/,The candy costs 50 cents.,The candy costs 50 cent.,そのキャンディーは50セントです。,そのキャンディーは50セントです。,屈折IPAの原形化 / 例文の原形主語整合化
478,village,A1,A1,村,村,/ˈvɪlədʒəz/,/vˈɪlədʒ/,They visited many villages during their trip.,They visited many village during their trip.,彼らは旅行中に多くの村を訪れました。,彼らは旅行中に多くの村を訪れました。,屈折IPAの原形化 / 例文の原形主語整合化
481,adult,A1,A1,大人,大人,/əˈdʌlt/,/əˈdʌlt/,Adults need to take responsibility.,adult need to take responsibility.,大人は責任を負う必要がある。,大人は責任を負う必要がある。,例文の原形主語整合化
485,window,A1,A1,窓,窓,/ˈwɪndoʊz/,/wˈɪndoʊ/,The windows are closed.,The window are closed.,窓は閉まっています。,窓は閉まっています。,屈折IPAの原形化 / 例文の原形主語整合化
489,improve,A1,A1,改善する,改善する,/ɪˈmpruːvz/,/ɪmprˈuːv/,Regular exercise improves your health.,Regular exercise improve your health.,定期的な運動はあなたの健康を改善します。,定期的な運動はあなたの健康を改善します。,屈折IPAの原形化 / 例文の原形主語整合化
492,decide,A1,A1,決める,決める,/dɪˈsaɪdz/,/dɪsˈaɪd/,He decides what to eat.,I decide what to eat.,彼は何を食べかを決める。,私は何を食べかを決める。,屈折IPAの原形化 / 例文の原形主語整合化
497,birthday,A1,A1,誕生日,誕生日,/ˈbɜːrˌθdeɪz/,/bˈɜːrθdˌeɪ/,We celebrate our birthdays with cake and presents.,We celebrate our birthday with cake and presents.,私たちはケーキとプレゼントで誕生日を祝います。,私たちはケーキとプレゼントで誕生日を祝います。,屈折IPAの原形化 / 例文の原形主語整合化
499,horse,A1,A1,馬,馬,/ˈhɔrs/,/hˈɔːrs/,The horse ran very fast.,The horse ran very fast.,その馬はとても速く走りました。,その馬はとても速く走りました。,屈折IPAの原形化
503,driver,A1,A1,運転手,運転手,/ˈdraɪvərz/,/drˈaɪvɚ/,The drivers were on strike for better pay.,The driver were on strike for better pay.,運転手たちはより良い賃金のためにストライキを行った。,運転手たちはより良い賃金のためにストライキを行った。,屈折IPAの原形化 / 例文の原形主語整合化
510,sport,A1,A1,スポーツ,スポーツ,/ˈspɔrts/,/spˈɔːrt/,He loves playing all kinds of sports.,He loves playing all kinds of sport.,彼はあらゆる種類のスポーツをするのが大好きだ。,私はあらゆる種類のスポーツをするのが大好きだ。,屈折IPAの原形化 / 例文の原形主語整合化
515,flat,A1,A1,フラットシューズ,フラットシューズ,/ˈflæts/,/flˈæt/,She is wearing flats.,She is wearing flat.,彼女はフラットシューズを履いている。,私はフラットシューズを履いている。,屈折IPAの原形化 / 例文の原形主語整合化
519,quarter,A1,A1,4分の1,4分の1,/ˈkwɔrtər/,/ˈkwɔrtər/,The pizza was cut into quarters.,The pizza was cut into quarter.,ピザは4分の1にカットされました。,ピザは4分の1にカットされました。,例文の原形主語整合化
530,jump,A1,A1,ジャンプする,ジャンプする,/ˈdʒʌmps/,/dʒˈʌmp/,The dog jumps over the fence.,The dog jump over the fence.,犬がフェンスを飛び越えます。,犬がフェンスを飛び越えます。,屈折IPAの原形化 / 例文の原形主語整合化
534,exercise,A1,A1,運動,運動,/ˈɛksərˌsaɪzəz/,/ˈeksɚsˌaɪz/,She does exercises every morning.,She does exercise every morning.,彼女は毎朝運動をします。,私は毎朝運動をします。,屈折IPAの原形化 / 例文の原形主語整合化
536,restaurant,A1,A1,レストラン,レストラン,/ˈrɛstərˌɑnts/,/rˈestɚˌɑːnt/,There are many restaurants in this city.,There are many restaurant in this city.,この都市にはたくさんのレストランがあります。,この都市にはたくさんのレストランがあります。,屈折IPAの原形化 / 例文の原形主語整合化
